what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1325369078638
os,sysinfo,,,"win32",1325369078645
arch,sysinfo,,,"x86",1325369078645
ws,sysinfo,,,"win32",1325369078645
locale,sysinfo,,,"es_ES",1325369078645
processors,sysinfo,,,"4",1325369078645
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1325369078645
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1325369078645
java.specification.name,sysinfo,,,"Java Platform API Specification",1325369078645
java.specification.vendor,sysinfo,,,"Oracle Corporation",1325369078645
java.specification.version,sysinfo,,,"1.7",1325369078645
java.vendor,sysinfo,,,"Oracle Corporation",1325369078645
java.version,sysinfo,,,"1.7.0_02",1325369078645
java.vm.info,sysinfo,,,"mixed mode, sharing",1325369078645
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1325369078645
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1325369078645
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1325369078645
java.vm.specification.version,sysinfo,,,"1.7",1325369078645
java.vm.vendor,sysinfo,,,"Oracle Corporation",1325369078645
java.vm.version,sysinfo,,,"22.0-b10",1325369078645
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1325369080766
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1325369080770
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1325369080822
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.200.v201008201800,"org.eclipse.jst.ws.jaxrs.core",1325369080824
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1325369082747
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1325369084951
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1325369084953
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1325369084981
